State,date,fips,cases,deaths,month,day
Alaska,2020-07-07,2,1423,15,7,7
Alaska,2020-07-21,2,2523,16,7,21
Alaska,2020-06-05,2,565,8,6,5
Alaska,2020-08-23,2,5556,30,8,23
Alaska,2020-04-18,2,312,7,4,18
Alaska,2020-04-09,2,233,5,4,9
Alaska,2020-06-04,2,542,8,6,4
Alaska,2020-06-17,2,776,10,6,17
Alaska,2020-04-26,2,339,7,4,26
Alaska,2020-04-14,2,283,7,4,14
Alaska,2020-07-15,2,1958,15,7,15
Alaska,2020-08-21,2,5401,28,8,21
Alaska,2020-03-29,2,114,2,3,29
Alaska,2020-07-05,2,1371,14,7,5
Alaska,2020-07-16,2,2034,15,7,16
Arizona,2020-08-05,4,182230,3933,8,5
Arizona,2020-03-10,4,6,0,3,10
Arizona,2020-05-29,4,18465,885,5,29
Arizona,2020-03-18,4,28,0,3,18
Arizona,2020-06-13,4,34773,1190,6,13
Arizona,2020-08-16,4,193554,4509,8,16
Arizona,2020-03-16,4,18,0,3,16
Arizona,2020-08-22,4,197909,4760,8,22
Arizona,2020-03-17,4,20,0,3,17
Arizona,2020-08-07,4,185104,4085,8,7
Arizona,2020-04-27,4,6716,277,4,27
Arizona,2020-05-28,4,17763,857,5,28
Arizona,2020-06-24,4,60207,1467,6,24
Arizona,2020-06-11,4,31525,1130,6,11
Arizona,2020-07-15,4,131411,2442,7,15
Arizona,2020-05-04,4,8919,362,5,4
Arizona,2020-07-27,4,163918,3320,7,27
Arizona,2020-04-09,4,3018,89,4,9
Arizona,2020-04-12,4,3539,117,4,12
Arizona,2020-06-10,4,29981,1100,6,10
Arizona,2020-08-01,4,177019,3753,8,1
Arizona,2020-08-20,4,196305,4688,8,20
Arizona,2020-08-12,4,189522,4348,8,12
Arizona,2020-08-11,4,188780,4205,8,11
Arizona,2020-06-23,4,58397,1398,6,23
Arizona,2020-04-28,4,6948,297,4,28
Arizona,2020-03-24,4,326,6,3,24
Arizona,2020-06-12,4,33167,1157,6,12
Arizona,2020-07-25,4,160055,3288,7,25
Arizona,2020-03-19,4,47,0,3,19
Arizona,2020-04-29,4,7202,308,4,29
Arizona,2020-06-01,4,20123,918,6,1
Arizona,2020-05-02,4,8364,353,5,2
Arizona,2020-04-11,4,3393,112,4,11
Arizona,2020-04-25,4,6280,275,4,25
Arizona,2020-06-16,4,39298,1228,6,16
Arizona,2020-04-30,4,7648,320,4,30
Arizona,2020-03-22,4,153,2,3,22
Arizona,2020-06-05,4,24369,1016,6,5
Arizona,2020-08-19,4,195568,4643,8,19
Arizona,2020-06-04,4,22818,1000,6,4
Arizona,2020-03-12,4,9,0,3,12
Arizona,2020-06-17,4,41159,1252,6,17
Arizona,2020-06-02,4,21250,943,6,2
Arizona,2020-05-01,4,7962,330,5,1
Arizona,2020-06-19,4,46914,1322,6,19
Arizona,2020-07-17,4,138575,2597,7,17
Arizona,2020-04-24,4,6045,268,4,24
Arizona,2020-07-28,4,165994,3424,7,28
Arizona,2020-04-07,4,2577,77,4,7
Arizona,2020-06-18,4,43731,1287,6,18
Arizona,2020-03-21,4,104,1,3,21
Arizona,2020-03-13,4,9,0,3,13
Arizona,2020-07-13,4,123917,2250,7,13
Arizona,2020-08-08,4,186226,4140,8,8
Arizona,2020-06-03,4,22245,983,6,3
Arizona,2020-03-14,4,12,0,3,14
Arizona,2020-06-09,4,28396,1074,6,9
Arizona,2020-06-20,4,50198,1347,6,20
Arizona,2020-08-15,4,192670,4497,8,15
Arizona,2020-06-08,4,27761,1052,6,8
Arizona,2020-06-22,4,54767,1354,6,22
Arizona,2020-04-26,4,6526,277,4,26
Arizona,2020-04-06,4,2466,67,4,6
Arizona,2020-06-14,4,35953,1194,6,14
Arizona,2020-06-07,4,26924,1048,6,7
Arizona,2020-05-30,4,19255,903,5,30
Arizona,2020-06-21,4,52666,1350,6,21
Arizona,2020-08-13,4,190850,4385,8,13
Arizona,2020-07-16,4,134730,2506,7,16
Arizona,2020-03-15,4,13,0,3,15
Arizona,2020-07-12,4,122479,2239,7,12
Arizona,2020-03-11,4,9,0,3,11
Arizona,2020-03-23,4,234,2,3,23
Arizona,2020-04-10,4,3112,97,4,10
Arizona,2020-04-08,4,2726,80,4,8
Arizona,2020-07-14,4,128126,2341,7,14
Arizona,2020-04-23,4,5769,257,4,23
Arizona,2020-07-18,4,141333,2733,7,18
Arizona,2020-06-15,4,37005,1204,6,15
Arizona,2020-06-06,4,25517,1046,6,6
Arizona,2020-07-26,4,162041,3313,7,26
Arizona,2020-05-31,4,19936,906,5,31
Arizona,2020-05-03,4,8640,362,5,3
Arizona,2020-08-06,4,183744,4005,8,6
Arizona,2020-03-20,4,70,1,3,20
Arizona,2020-03-09,4,6,0,3,9
Arizona,2020-07-11,4,119991,2158,7,11
Arizona,2020-04-18,4,4719,181,4,18
Arizona,2020-03-01,4,1,0,3,1
Arizona,2020-06-30,4,79399,1645,6,30
Arizona,2020-02-03,4,1,0,2,3
Arizona,2020-02-29,4,1,0,2,29
Arizona,2020-07-06,4,101542,1832,7,6
Arizona,2020-02-04,4,1,0,2,4
Arizona,2020-05-20,4,14897,747,5,20
Arizona,2020-07-24,4,156392,3156,7,24
Arizona,2020-04-01,4,1413,29,4,1
Arizona,2020-08-03,4,179506,3785,8,3
Arizona,2020-08-10,4,187634,4157,8,10
Arizona,2020-07-01,4,84152,1726,7,1
Arizona,2020-02-27,4,1,0,2,27
Arizona,2020-05-19,4,14566,704,5,19
Arizona,2020-08-18,4,194931,4535,8,18
Arizona,2020-02-26,4,1,0,2,26
Arizona,2020-02-25,4,1,0,2,25
Arizona,2020-04-14,4,3806,131,4,14
Arizona,2020-02-28,4,1,0,2,28
Arizona,2020-04-19,4,4929,188,4,19
Arizona,2020-02-02,4,1,0,2,2
Arizona,2020-08-04,4,180537,3850,8,4
Arizona,2020-01-30,4,1,0,1,30
Arizona,2020-03-05,4,2,0,3,5
Arizona,2020-06-28,4,73961,1594,6,28
Arizona,2020-03-27,4,665,15,3,27
Arizona,2020-07-29,4,168361,3470,7,29
Arizona,2020-07-23,4,153029,3067,7,23
Arizona,2020-05-22,4,15608,775,5,22
Arizona,2020-03-04,4,2,0,3,4
Arizona,2020-01-31,4,1,0,1,31
Arizona,2020-04-04,4,2019,53,4,4
Arizona,2020-04-15,4,3962,142,4,15
Arizona,2020-07-10,4,116947,2093,7,10
Arizona,2020-05-21,4,15315,763,5,21
Arizona,2020-03-03,4,2,0,3,3
Arizona,2020-08-17,4,194027,4509,8,17
Arizona,2020-08-14,4,191810,4426,8,14
Arizona,2020-06-29,4,74602,1598,6,29
Arizona,2020-02-01,4,1,0,2,1
Arizona,2020-03-02,4,1,0,3,2
Arizona,2020-03-29,4,930,18,3,29
Arizona,2020-02-05,4,1,0,2,5
Arizona,2020-02-24,4,1,0,2,24
Arizona,2020-05-08,4,10526,517,5,8
Arizona,2020-05-09,4,10960,532,5,9
Arizona,2020-02-16,4,1,0,2,16
Arizona,2020-05-16,4,13631,679,5,16
Arizona,2020-02-15,4,1,0,2,15
Arizona,2020-02-14,4,1,0,2,14
Arizona,2020-07-04,4,94616,1821,7,4
Arizona,2020-05-15,4,13169,651,5,15
Arizona,2020-02-13,4,1,0,2,13
Arizona,2020-07-22,4,150659,2976,7,22
Arizona,2020-04-16,4,4234,152,4,16
Arizona,2020-02-12,4,1,0,2,12
Arizona,2020-02-08,4,1,0,2,8
Arizona,2020-02-11,4,1,0,2,11
Arizona,2020-07-30,4,170905,3628,7,30
Arizona,2020-07-05,4,98126,1829,7,5
Arizona,2020-02-10,4,1,0,2,10
Arizona,2020-05-10,4,11119,536,5,10
Arizona,2020-02-09,4,1,0,2,9
Arizona,2020-03-31,4,1298,24,3,31
Arizona,2020-07-03,4,91894,1802,7,3
Arizona,2020-01-29,4,1,0,1,29
Arizona,2020-02-17,4,1,0,2,17
Arizona,2020-05-14,4,12674,624,5,14
Arizona,2020-07-21,4,148730,2918,7,21
Arizona,2020-02-23,4,1,0,2,23
Arizona,2020-08-23,4,198117,4775,8,23
Arizona,2020-07-08,4,108710,1973,7,8
Arizona,2020-05-18,4,14170,686,5,18
Arizona,2020-02-22,4,1,0,2,22
Arizona,2020-07-09,4,112783,2047,7,9
Arizona,2020-02-21,4,1,0,2,21
Arizona,2020-04-03,4,1769,41,4,3
Arizona,2020-02-06,4,1,0,2,6
Arizona,2020-07-02,4,87495,1766,7,2
Arizona,2020-02-20,4,1,0,2,20
Arizona,2020-04-02,4,1600,35,4,2
